zip_code,lat,lng,housing_score,tax_score,healthcare_score,overall_score,borough,transit_score,social_score,grocery_score,data_quality,rental_count
11249,40.71121,-73.96318,76,76.11691428,0.0,57,Brooklyn,0,0,0,Housing Only,0
11354,40.7686,-73.82743,89,63.93032643,30.76954955,68,Queens,0,0,0,Housing Only,0
11355,40.75143,-73.82125,90,77.28031061,38.0321023,74,Queens,0,0,0,Housing Only,0
11356,40.78492,-73.84149,86,80.45208845,30.54954955,71,Queens,0,0,0,Housing Only,0
11357,40.78636,-73.81094,83,49.40540541,32.04954955,62,Queens,0,0,0,Housing Only,0
11358,40.76038,-73.79648,82,53.94065394,31.54954955,62,Queens,0,0,0,Housing Only,0
11359,40.79147,-73.77662,92,76.11691428,0.0,65,Queens,0,0,0,Housing Only,0
11360,40.7805,-73.78159,90,36.88708471,32.62954955,62,Queens,0,0,0,Housing Only,0
11361,40.76393,-73.77294,83,48.95775541,32.06954955,62,Queens,0,0,0,Housing Only,0
11362,40.75899,-73.73583,89,34.48737994,32.42954955,61,Queens,0,0,0,Housing Only,0
11363,40.77251,-73.74708,82,34.78413478,32.68954955,57,Queens,0,0,0,Housing Only,0
11364,40.74625,-73.75598,90,30.72395863,32.22954955,60,Queens,0,0,0,Housing Only,0
11365,40.73983,-73.79499,83,62.98116298,31.80954955,65,Queens,0,0,0,Housing Only,0
11366,40.73112,-73.7804,82,56.21855622,31.98954955,63,Queens,0,0,0,Housing Only,0
11367,40.73044,-73.82274,92,70.38807176,31.68954955,71,Queens,0,0,0,Housing Only,0
11368,40.74962,-73.85264,91,96.53503954,27.84954955,76,Queens,0,0,0,Housing Only,0
11369,40.76345,-73.87222,86,93.10019858,29.14954955,73,Queens,0,0,0,Housing Only,0
11370,40.77554,-73.88766,86,84.4123193,29.56954955,71,Queens,0,0,0,Housing Only,0
11371,40.77445,-73.87316,92,76.11691428,0.0,65,Queens,0,0,0,Housing Only,0
11372,40.75172,-73.88367,93,86.10451552,29.78954955,75,Queens,0,0,0,Housing Only,0
11373,40.73892,-73.87854,92,85.3231948,29.56897535,74,Queens,0,0,0,Housing Only,0
11374,40.72647,-73.86144,93,64.1143011,32.12954955,70,Queens,0,0,0,Housing Only,0
11375,40.72315,-73.84373,92,58.46372688,32.58954955,68,Queens,0,0,0,Housing Only,0
11377,40.74483,-73.90516,91,84.82078335,30.56954955,74,Queens,0,0,0,Housing Only,0
11378,40.72493,-73.91034,85,77.7284616,31.26954955,70,Queens,0,0,0,Housing Only,0
11379,40.71709,-73.88056,85,69.71186062,31.92954955,68,Queens,0,0,0,Housing Only,0
11385,40.70103,-73.89011,86,84.37287232,30.72954955,71,Queens,0,0,0,Housing Only,0
11411,40.69406,-73.73623,88,92.43594244,31.98954955,75,Queens,0,0,0,Housing Only,0
11412,40.69804,-73.759,88,92.45850674,31.48954955,75,Queens,0,0,0,Housing Only,0
11413,40.67002,-73.75116,88,93.66176654,31.64954955,75,Queens,0,0,0,Housing Only,0
